"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"134","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","29","publicMethodCommentRequirement Required","Comments","CommentRequired"
"135","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","31","Local variable 'factory' could be declared final","Optimization","LocalVariableCouldBeFinal"
"136","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","32","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"137","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","38","Parameter 'aluno' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"138","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","38","publicMethodCommentRequirement Required","Comments","CommentRequired"
"139","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","40","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"140","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","42","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"141","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","44","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"142","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","45","A catch statement that catches an exception only to rethrow it should be avoided.","Strict Exceptions","AvoidRethrowingException"
"143","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","47","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"144","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","48","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"145","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","49","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"146","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","57","Parameter 'matricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"147","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","57","publicMethodCommentRequirement Required","Comments","CommentRequired"
"148","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","63","publicMethodCommentRequirement Required","Comments","CommentRequired"
"149","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","64","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"150","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","64","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"151","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","64","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"152","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","68","Parameter 'aluno' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"153","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","68","publicMethodCommentRequirement Required","Comments","CommentRequired"
"154","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","70","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"155","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","72","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"156","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","73","A catch statement that catches an exception only to rethrow it should be avoided.","Strict Exceptions","AvoidRethrowingException"
"157","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","75","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"158","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","76","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"159","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","77","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"160","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","2","83","Avoid reassigning parameters such as 'aluno'","Basic Velocity","AvoidReassigningParameters"
"161","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","83","publicMethodCommentRequirement Required","Comments","CommentRequired"
"162","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","85","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"163","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","88","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"164","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","90","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"165","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","91","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"166","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","91","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"167","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","92","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"168","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","97","Parameter 'matricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"169","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","97","publicMethodCommentRequirement Required","Comments","CommentRequired"
"170","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","99","Local variable 'aluno' could be declared final","Optimization","LocalVariableCouldBeFinal"
"171","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","101","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"172","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","102","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"173","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","13","Each class should declare at least one constructor","Controversial","AtLeastOneConstructor"
"174","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","13","headerCommentRequirement Required","Comments","CommentRequired"
"175","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"176","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","15","Private field 'alunoService' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"177","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","15","fieldCommentRequirement Required","Comments","CommentRequired"
"178","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","18","publicMethodCommentRequirement Required","Comments","CommentRequired"
"179","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","20","Local variable 'nome' could be declared final","Optimization","LocalVariableCouldBeFinal"
"180","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","21","Local variable 'sexo' could be declared final","Optimization","LocalVariableCouldBeFinal"
"181","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","22","Local variable 'cpf' could be declared final","Optimization","LocalVariableCouldBeFinal"
"182","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","23","Local variable 'data' could be declared final","Optimization","LocalVariableCouldBeFinal"
"183","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","23","This statement may have some unnecessary parentheses","Unnecessary","UnnecessaryParentheses"
"184","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","23","Useless parentheses.","Unnecessary","UselessParentheses"
"185","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","23","Useless parentheses.","Unnecessary","UselessParentheses"
"186","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","26","Local variable 'matricula' could be declared final","Optimization","LocalVariableCouldBeFinal"
"187","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","30","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"188","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","31","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"189","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","32","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"190","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","33","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"191","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","37","publicMethodCommentRequirement Required","Comments","CommentRequired"
"192","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","39","Local variable 'nome' could be declared final","Optimization","LocalVariableCouldBeFinal"
"193","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","40","Local variable 'sexo' could be declared final","Optimization","LocalVariableCouldBeFinal"
"194","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","41","Local variable 'cpf' could be declared final","Optimization","LocalVariableCouldBeFinal"
"195","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","42","Local variable 'data' could be declared final","Optimization","LocalVariableCouldBeFinal"
"196","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","42","This statement may have some unnecessary parentheses","Unnecessary","UnnecessaryParentheses"
"197","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","42","Useless parentheses.","Unnecessary","UselessParentheses"
"198","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","42","Useless parentheses.","Unnecessary","UselessParentheses"
"199","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","43","Local variable 'aluno' could be declared final","Optimization","LocalVariableCouldBeFinal"
"200","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","45","Local variable 'matricula' could be declared final","Optimization","LocalVariableCouldBeFinal"
"201","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","52","publicMethodCommentRequirement Required","Comments","CommentRequired"
"202","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","54","Local variable 'velhoNascimento' could be declared final","Optimization","LocalVariableCouldBeFinal"
"203","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","55","Local variable 'velhoNome' could be declared final","Optimization","LocalVariableCouldBeFinal"
"204","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","56","Local variable 'velhoSexo' could be declared final","Optimization","LocalVariableCouldBeFinal"
"205","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","57","Local variable 'velhoCPF' could be declared final","Optimization","LocalVariableCouldBeFinal"
"206","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","58","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"207","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","60","Local variable 'matricula' could be declared final","Optimization","LocalVariableCouldBeFinal"
"208","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","62","Local variable 'novoNascimento' could be declared final","Optimization","LocalVariableCouldBeFinal"
"209","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","63","Local variable 'novoNome' could be declared final","Optimization","LocalVariableCouldBeFinal"
"210","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","64","Local variable 'novoSexo' could be declared final","Optimization","LocalVariableCouldBeFinal"
"211","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","65","Local variable 'novoCPF' could be declared final","Optimization","LocalVariableCouldBeFinal"
"212","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","67","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"213","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","71","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"214","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","71","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"215","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","72","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"216","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","73","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"217","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","74","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"218","br.ufc.model","test/br/ufc/model/AlunoTeste.java","1","78","Method names should not contain underscores","Naming","MethodNamingConventions"
"219","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","78","publicMethodCommentRequirement Required","Comments","CommentRequired"
"220","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","79","Local variable 'nome' could be declared final","Optimization","LocalVariableCouldBeFinal"
"221","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","80","Local variable 'sexo' could be declared final","Optimization","LocalVariableCouldBeFinal"
"222","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","81","Local variable 'cpf' could be declared final","Optimization","LocalVariableCouldBeFinal"
"223","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","82","Local variable 'data' could be declared final","Optimization","LocalVariableCouldBeFinal"
"224","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","82","This statement may have some unnecessary parentheses","Unnecessary","UnnecessaryParentheses"
"225","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","82","Useless parentheses.","Unnecessary","UselessParentheses"
"226","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","82","Useless parentheses.","Unnecessary","UselessParentheses"
"227","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","4","5","Avoid unused imports such as 'org.junit.Assert'","Import Statements","UnusedImports"
"228","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","4","10","Avoid unused imports such as 'org.openqa.selenium.firefox.FirefoxDriver'","Import Statements","UnusedImports"
"229","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","4","14","Avoid unused imports such as 'br.ufc.model.Sexo'","Import Statements","UnusedImports"
"230","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","16","Each class should declare at least one constructor","Controversial","AtLeastOneConstructor"
"231","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","16","headerCommentRequirement Required","Comments","CommentRequired"
"232","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","19","publicMethodCommentRequirement Required","Comments","CommentRequired"
"233","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","21","Local variable 'driver' could be declared final","Optimization","LocalVariableCouldBeFinal"
"234","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","22","Avoid unused local variables such as 'linhas'.","Unused Code","UnusedLocalVariable"
"235","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","23","Avoid unused local variables such as 'achou'.","Unused Code","UnusedLocalVariable"
"236","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","5","23","Found 'DU'-anomaly for variable 'achou' (lines '23'-'63').","Controversial","DataflowAnomalyAnalysis"
"237","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","23","Local variable 'achou' could be declared final","Optimization","LocalVariableCouldBeFinal"
"238","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","25","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"239","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","28","Local variable 'nome' could be declared final","Optimization","LocalVariableCouldBeFinal"
"240","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","29","Local variable 'cpf' could be declared final","Optimization","LocalVariableCouldBeFinal"
"241","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","30","Avoid unused local variables such as 'sexo'.","Unused Code","UnusedLocalVariable"
"242","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","5","30","Found 'DU'-anomaly for variable 'sexo' (lines '30'-'63').","Controversial","DataflowAnomalyAnalysis"
"243","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","30","Local variable 'sexo' could be declared final","Optimization","LocalVariableCouldBeFinal"
"244","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","31","Avoid unused local variables such as 'data'.","Unused Code","UnusedLocalVariable"
"245","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","5","31","Found 'DU'-anomaly for variable 'data' (lines '31'-'63').","Controversial","DataflowAnomalyAnalysis"
"246","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","31","Local variable 'data' could be declared final","Optimization","LocalVariableCouldBeFinal"
"247","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","33","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"248","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","34","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"249","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","36","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"250","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","37","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"251","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","39","Local variable 'dropdown' could be declared final","Optimization","LocalVariableCouldBeFinal"
"252","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","39","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"253","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","40","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"254","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","42","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"255","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","43","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"256","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","5","46","Found 'DU'-anomaly for variable 'linhas' (lines '46'-'63').","Controversial","DataflowAnomalyAnalysis"
"257","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","46","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"258","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","47","Comment is too large: Too many lines","Comments","CommentSize"
"259","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","49","Comment is too large: Line too long","Comments","CommentSize"
"260","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","50","Comment is too large: Line too long","Comments","CommentSize"
"261","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","51","Comment is too large: Line too long","Comments","CommentSize"
"262","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","52","Comment is too large: Line too long","Comments","CommentSize"
"263","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","53","Comment is too large: Line too long","Comments","CommentSize"
"264","br.ufc.selenium","test/br/ufc/selenium/CadastroTeste.java","3","62","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
